# mesh_size gmsh_read part data_pop part_data write mem
24   .56      .05    1.02 .05  .003  .859
48.  1.07     .08    2.02 .1      .004  .910
96.    2.07   .14      4.00 .23   .006  1.004
192.    3.94   .275 7.63  .39    .01    1.193
384.   7.45   .54     14.61 .89  .016   1.557
768.    14.57   1.07    27.14   1.1   .11   2.251
1536.   27.60  2.19     50.63  2.13   .19   3.388
3072.   53.63   4.47     97.05   4.31  .34  5.869
6144.    105.52    8.68    188.58   8.8   .58   10.784
12288.   205.53    17.51     366.89  17.82    .91    20.487
24576.   399.86     35.81    746.89    42.00   1.3 39.380
